MCS_Ttl_Acnt_Bal,N
0,1481950
100,71550
200,64900
300,60700
400,54350
500,53400
600,50700
700,47600
800,49150
900,44200
1000,43950
1100,41700
1200,41550
1300,39400
1400,38950
1500,38200
1600,38500
1700,31750
1800,35850
1900,30600
2000,31300
2100,30200
2200,28850
2300,28700
2400,27200
2500,27650
2600,28750
2700,27400
2800,27250
2900,26200
3000,26550
3100,26300
3200,26950
3300,23700
3400,24150
3500,23900
3600,23550
3700,23850
3800,22800
3900,20950
4000,21700
4100,21000
4200,22300
4300,21900
4400,22600
4500,21100
4600,20650
4700,20450
4800,22150
4900,20150
5000,19550
5100,18850
5200,20550
5300,20500
5400,20250
5500,20100
5600,20100
5700,18800
5800,18300
5900,17200
6000,18650
6100,16850
6200,18300
6300,15750
6400,16550
6500,18250
6600,17450
6700,17350
6800,17550
6900,16800
7000,15650
7100,17250
7200,17750
7300,16500
7400,18350
7500,17650
7600,14650
7700,14900
7800,15400
7900,15850
8000,14850
8100,15750
8200,17250
8300,16000
8400,13950
8500,14600
8600,15050
8700,15700
8800,14750
8900,15600
9000,15700
9100,16200
9200,14850
9300,16200
9400,15050
9500,14700
9600,13850
9700,14750
9800,13700
9900,14750
10000,14200
10100,15750
10200,13700
10300,13650
10400,13400
10500,14450
10600,13600
10700,13650
10800,13500
10900,13750
11000,14250
11100,12100
11200,13500
11300,13400
11400,12600
11500,13650
11600,12150
11700,12300
11800,13300
11900,13450
12000,13400
12100,13100
12200,13200
12300,14050
12400,12300
12500,13150
12600,13000
12700,10900
12800,13050
12900,13600
13000,12900
13100,11400
13200,12650
13300,11000
13400,11500
13500,10300
13600,12600
13700,10800
13800,12200
13900,12150
14000,11750
14100,11300
14200,11300
14300,11400
14400,12050
14500,12350
14600,11850
14700,11750
14800,11350
14900,10200
15000,12500
15100,11700
15200,12000
15300,12000
15400,11450
15500,11850
15600,11600
15700,10350
15800,11250
15900,10600
16000,11850
16100,10150
16200,12550
16300,10350
16400,12550
16500,10750
16600,10000
16700,12500
16800,11650
16900,10200
17000,11700
17100,11800
17200,10800
17300,9300
17400,11600
17500,10950
17600,10250
17700,11350
17800,11800
17900,10200
18000,11450
18100,11150
18200,9200
18300,10550
18400,11550
18500,11550
18600,9550
18700,11650
18800,10450
18900,10350
19000,9650
19100,10150
19200,9600
19300,9500
19400,10450
19500,11150
19600,10100
19700,9750
19800,10650
19900,10450
20000,9900
20100,10450
20200,10100
20300,10500
20400,9950
20500,9750
20600,9900
20700,9600
20800,10050
20900,8600
21000,9500
21100,10200
21200,9600
21300,10100
21400,10900
21500,10800
21600,10500
21700,10700
21800,8900
21900,9500
22000,9500
22100,10200
22200,10000
22300,9700
22400,9400
22500,10000
22600,9350
22700,8900
22800,9700
22900,9700
23000,10000
23100,8500
23200,9300
23300,9350
23400,9700
23500,8750
23600,9900
23700,8800
23800,9000
23900,9400
24000,9200
24100,9100
24200,9250
24300,9000
24400,8850
24500,9150
24600,8750
24700,8900
24800,9550
24900,8100
25000,8750
25100,8600
25200,10100
25300,8800
25400,9200
25500,8050
25600,7450
25700,8750
25800,8600
25900,8500
26000,8050
26100,8150
26200,8700
26300,8650
26400,8300
26500,7750
26600,10100
26700,8050
26800,8300
26900,8600
27000,9650
27100,7400
27200,9400
27300,8350
27400,9200
27500,8100
27600,8450
27700,8500
27800,7750
27900,7400
28000,8000
28100,8350
28200,8200
28300,7800
28400,8550
28500,9000
28600,8250
28700,8150
28800,7700
28900,8550
29000,8550
29100,7700
29200,8200
29300,8200
29400,8200
29500,7250
29600,7650
29700,8500
29800,7750
29900,9400
30000,7700
30100,7700
30200,7850
30300,9000
30400,8250
30500,8050
30600,7200
30700,9200
30800,7150
30900,8650
31000,7450
31100,7550
31200,8400
31300,8350
31400,8300
31500,7650
31600,8500
31700,7750
31800,8900
31900,7150
32000,8400
32100,7750
32200,7900
32300,8600
32400,7950
32500,8550
32600,7650
32700,6950
32800,7500
32900,7700
33000,7400
33100,7450
33200,7300
33300,8050
33400,6650
33500,8150
33600,8300
33700,7350
33800,6850
33900,8500
34000,6950
34100,7650
34200,6450
34300,7600
34400,6800
34500,6750
34600,7900
34700,7150
34800,6900
34900,7100
35000,7400
35100,7850
35200,7300
35300,7100
35400,8150
35500,7100
35600,7600
35700,7500
35800,8600
35900,8050
36000,7000
36100,7900
36200,7050
36300,7600
36400,7700
36500,7500
36600,6800
36700,7750
36800,6850
36900,6900
37000,6650
37100,6300
37200,7100
37300,6900
37400,5850
37500,7050
37600,7050
37700,7450
37800,7400
37900,6600
38000,7900
38100,7100
38200,7050
38300,7200
38400,7600
38500,7650
38600,7150
38700,7350
38800,6450
38900,7400
39000,7300
39100,7750
39200,6850
39300,6600
39400,6600
39500,7000
39600,7450
39700,7000
39800,6850
39900,6500
40000,7400
40100,7100
40200,6350
40300,7700
40400,6950
40500,7050
40600,5450
40700,7050
40800,6750
40900,6000
41000,6950
41100,6600
41200,6800
41300,6550
41400,6500
41500,6900
41600,6300
41700,6350
41800,7050
41900,7250
42000,6950
42100,6900
42200,5550
42300,6400
42400,7650
42500,6650
42600,6800
42700,6150
42800,6550
42900,6150
43000,6350
43100,7150
43200,6600
43300,7400
43400,5400
43500,6050
43600,7100
43700,6500
43800,6700
43900,7000
44000,6600
44100,6700
44200,6350
44300,6900
44400,7050
44500,6700
44600,6650
44700,7700
44800,6150
44900,7500
45000,5600
45100,4800
45200,6800
45300,6700
45400,5950
45500,6250
45600,5500
45700,6800
45800,6350
45900,6750
46000,6200
46100,6750
46200,5950
46300,5900
46400,6000
46500,6150
46600,6600
46700,5450
46800,5300
46900,6150
47000,6750
47100,6150
47200,6200
47300,5900
47400,6200
47500,6300
47600,6350
47700,5550
47800,6200
47900,6900
48000,5400
48100,6950
48200,7000
48300,6600
48400,5900
48500,6000
48600,5950
48700,4750
48800,7050
48900,5800
49000,6100
49100,5500
49200,5700
49300,5650
49400,5550
49500,6950
49600,5700
49700,6500
49800,5300
49900,6000
50000,6500
50100,5750
50200,5700
50300,6100
50400,6500
50500,6100
50600,6450
50700,6200
50800,5900
50900,4700
51000,6250
51100,5950
51200,5700
51300,5400
51400,5600
51500,6650
51600,5950
51700,6450
